year,county_name,fips,total_pop,total_pop_15to64,total_jail_pop,female_jail_pop,male_jail_pop,jail_rated_capacity,total_jail_pretrial,total_jail_sentenced,total_jail_adm,black_jail_pop,latinx_jail_pop,white_jail_pop,aapi_jail_pop,native_jail_pop,total_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,latinx_prison_pop,white_prison_pop,aapi_prison_pop,native_prison_pop,total_prison_pop_rate,total_prison_adm,total_incarceration,total_incarceration_rate,fiscal_year_ending,total_governmental_expenditures,public_protection_expenditures,public_protection_pct_of_govt_expenditures,probation_expenditures,felony_probation,misdemeanor_probation,total_probation
2021,Trinity,06105,16061.0,8999.0,58.8,,,53.0,,58.8,623.0,,,,,,652.9,,,,,,,,,,,,,2021,65816149,15273470,23.21,2021746,45,3,48
2022,Trinity,06105,15781.0,8729.0,50.1,,,53.0,,50.1,623.0,,,,,,574.2,,,,,,,,,,,,,2022,63526119,16711678,26.31,1962233,50,5,55
2023,Trinity,06105,15781.0,8729.0,47.8,,,53.0,,47.8,623.0,,,,,,547.0,,,,,,,,,,,,,2023,69179373,17795214,25.72,1898310,31,3,34
2024,Trinity,06105,15781.0,8729.0,53.0,,,53.0,,53.0,623.0,,,,,,607.2,,,,,,,,,,,,,2024,70963138,19005114,26.78,1982074,39,2,41
2000,Tulare,06107,368627.0,229158.0,1183.2,134.2,1044.0,1792.9,634.0,549.3,17726.0,42.6,726.9,366.6,31.7,10.4,516.3,2161.0,130.0,2031.0,166.0,1201.0,708.0,,,943.0,1616.0,3325.9,1451.3,,,,,,,,
2001,Tulare,06107,373171.0,232699.0,1185.8,145.1,1034.7,1747.8,692.3,493.5,7160.0,46.1,727.2,365.0,32.0,9.6,509.6,2209.0,127.0,2082.0,171.0,1263.0,688.0,5.0,27.0,949.3,1655.0,3365.7,1446.4,,,,,,,,
2002,Tulare,06107,379568.0,237736.0,1254.0,160.1,1092.7,1286.4,747.8,506.2,19737.0,47.6,777.5,382.2,34.4,11.2,527.5,2307.0,154.0,2153.0,178.0,1320.0,719.0,5.0,31.0,970.4,1574.0,3537.0,1487.8,,,,,,,,
2003,Tulare,06107,388743.0,244228.0,1219.5,141.7,1073.3,1202.5,715.7,503.8,20641.0,45.2,756.7,366.2,34.0,11.9,499.3,2424.0,145.0,2279.0,166.0,1413.0,750.0,7.0,32.0,992.5,1499.0,3602.9,1475.2,2003,475797765,113351454,23.82,7379517,4968,0,4968
2004,Tulare,06107,398226.0,251026.0,1236.5,144.1,1095.4,1323.5,694.3,542.2,19659.0,42.6,776.5,368.6,37.1,11.8,492.6,2588.0,156.0,2432.0,170.0,1502.0,814.0,7.0,35.0,1031.0,1565.0,3778.1,1505.0,2004,489111851,138109657,28.24,10252092,4755,0,4755
2005,Tulare,06107,407970.0,257999.0,1372.5,162.7,1205.8,1616.0,810.1,562.4,19583.0,44.6,865.3,399.8,44.0,12.7,532.0,2675.0,162.0,2513.0,169.0,1570.0,825.0,7.0,37.0,1036.8,1666.0,3997.9,1549.6,2005,514340548,148087248,28.79,10530270,7547,0,7547
2006,Tulare,06107,414921.0,263324.0,1451.0,166.2,1263.3,1640.0,935.8,515.2,23295.0,49.3,913.6,420.8,46.6,13.3,551.0,2819.0,176.0,2643.0,171.0,1689.0,845.0,7.0,33.0,1070.5,1859.0,4221.1,1603.0,2006,541821940,155637321,28.72,9409594,4845,0,4845
